team,advance_from_group,reach_round_of_16,reach_quarterfinal,reach_semifinal,reach_final,win_world_cup
Argentina,0.9887,0.8748,0.6761,0.5071,0.3665,0.2645
Brazil,0.9841,0.849,0.6311,0.443,0.2981,0.1947
France,0.9879,0.809,0.5481,0.3519,0.2099,0.1237
Portugal,0.9759,0.7698,0.5022,0.3099,0.1717,0.0904
England,0.9796,0.7491,0.4579,0.2609,0.1364,0.0662
Netherlands,0.9542,0.6672,0.371,0.1864,0.0897,0.0346
Spain,0.9495,0.6341,0.3498,0.174,0.0789,0.0307
Belgium,0.8771,0.576,0.3224,0.1645,0.077,0.03
Morocco,0.9085,0.5759,0.3058,0.1528,0.0671,0.0229
Germany,0.9325,0.6128,0.3235,0.15,0.0663,0.0209
Japan,0.8742,0.5357,0.285,0.1352,0.0554,0.0192
United States,0.8569,0.4997,0.2582,0.1197,0.0479,0.0168
Croatia,0.9646,0.6069,0.2948,0.13,0.0502,0.0162
Italy,0.802,0.456,0.2321,0.1073,0.0405,0.0115
Denmark,0.8501,0.4829,0.2367,0.1053,0.0404,0.0114
Serbia,0.778,0.3941,0.1823,0.0795,0.0287,0.0083
Colombia,0.7077,0.359,0.1648,0.0706,0.0276,0.0077
Senegal,0.8056,0.3786,0.1581,0.0581,0.0187,0.0042
Austria,0.6318,0.2925,0.1293,0.0518,0.0173,0.0038
Norway,0.7438,0.3212,0.1317,0.045,0.0144,0.0037
Switzerland,0.7396,0.343,0.1388,0.0464,0.016,0.0035
Ecuador,0.7746,0.2853,0.0981,0.031,0.0083,0.002
Mexico,0.6427,0.2796,0.1108,0.0384,0.0116,0.0018
Ukraine,0.6602,0.2372,0.0834,0.0234,0.0064,0.0012
Tunisia,0.4597,0.1533,0.0505,0.0143,0.0047,0.0011
Turkey,0.5268,0.1562,0.0494,0.0143,0.0026,0.0009
Nigeria,0.6198,0.1994,0.0627,0.0161,0.0036,0.0009
Sweden,0.6324,0.2177,0.0716,0.0199,0.0051,0.0009
Poland,0.6888,0.2234,0.0665,0.0186,0.0032,0.0008
Algeria,0.4902,0.1632,0.0579,0.0171,0.0044,0.0008
Peru,0.5998,0.1942,0.0598,0.0159,0.0035,0.0007
Ivory Coast,0.3488,0.1019,0.0296,0.0086,0.0025,0.0006
Iran,0.6317,0.2156,0.0734,0.0193,0.0043,0.0006
South Korea,0.504,0.1798,0.0609,0.0162,0.0039,0.0006
Chile,0.6367,0.2206,0.0719,0.0199,0.0037,0.0005
Paraguay,0.4317,0.1119,0.0292,0.0055,0.0013,0.0005
Australia,0.5782,0.1773,0.0549,0.0146,0.0025,0.0003
Czech Republic,0.59,0.1869,0.0551,0.0125,0.0023,0.0003
Egypt,0.4763,0.1302,0.033,0.0069,0.0014,0.0002
Canada,0.5998,0.1496,0.0339,0.0067,0.001,0.0002
Wales,0.3457,0.0824,0.0176,0.003,0.0003,0.0001
South Africa,0.3676,0.0737,0.0141,0.0023,0.0004,0.0001
Saudi Arabia,0.3556,0.0755,0.0155,0.0032,0.0007,0.0
Qatar,0.3292,0.0485,0.0073,0.0009,0.0,0.0
Cameroon,0.5142,0.1462,0.0407,0.0107,0.0021,0.0
New Zealand,0.2422,0.0456,0.0106,0.002,0.0,0.0
Uzbekistan,0.2827,0.0485,0.0108,0.0022,0.0003,0.0
Ghana,0.3783,0.0996,0.0283,0.0067,0.0012,0.0
